days,miles,receipts,reimbursement,case_id,miles_per_day,receipts_per_day,reimbursement_per_day,cost_per_mile,sequence,cluster_kmeans,cluster_dbscan,cluster_gmm,trip_length_bucket,efficiency_bucket,receipt_bucket,efficiency_category,cents,outlier_zscore,outlier_iqr,outlier_iforest,outlier_lof,outlier_count,is_outlier
3,93.0,1.42,364.51,0,31.0,0.47333333333333333,121.50333333333333,0.015268817204301075,0,1,0,2,short(1-3),low(<50),low(<100),low,51,False,False,False,False,0,False
1,55.0,3.6,126.06,1,55.0,3.6,126.06,0.06545454545454546,1,1,0,3,short(1-3),medium(50-100),low(<100),low,6,False,False,False,False,0,False
1,47.0,17.97,128.91,2,47.0,17.97,128.91,0.3823404255319149,2,1,0,3,short(1-3),low(<50),low(<100),low,91,False,False,False,False,0,False
2,13.0,4.67,203.52,3,6.5,2.335,101.76,0.35923076923076924,3,1,0,2,short(1-3),low(<50),low(<100),low,52,False,False,False,False,0,False
3,88.0,5.78,380.37,4,29.333333333333332,1.9266666666666667,126.79,0.06568181818181819,4,1,0,2,short(1-3),low(<50),low(<100),low,37,False,False,False,False,0,False
1,76.0,13.74,158.35,5,76.0,13.74,158.35,0.18078947368421053,5,1,0,3,short(1-3),medium(50-100),low(<100),low,35,False,False,False,False,0,False
3,41.0,4.52,320.12,6,13.666666666666666,1.5066666666666666,106.70666666666666,0.11024390243902438,6,1,0,2,short(1-3),low(<50),low(<100),low,12,False,False,False,False,0,False
1,140.0,22.71,199.68,7,140.0,22.71,199.68,0.16221428571428573,7,1,0,3,short(1-3),high(100-200),low(<100),low,68,False,False,False,False,0,False
3,121.0,21.17,464.07,8,40.333333333333336,7.0566666666666675,154.69,0.17495867768595041,8,1,0,2,short(1-3),low(<50),low(<100),low,7,False,False,False,False,0,False
3,117.0,21.99,359.1,9,39.0,7.329999999999999,119.7,0.18794871794871792,9,1,0,2,short(1-3),low(<50),low(<100),low,10,False,False,False,False,0,False
2,202.0,21.24,356.17,10,101.0,10.62,178.085,0.10514851485148514,10,1,0,2,short(1-3),high(100-200),low(<100),low,17,False,False,False,False,0,False
3,80.0,21.05,366.87,11,26.666666666666668,7.016666666666667,122.29,0.263125,11,1,0,2,short(1-3),low(<50),low(<100),low,87,False,False,False,False,0,False
2,21.0,20.04,204.58,12,10.5,10.02,102.29,0.9542857142857143,12,1,0,2,short(1-3),low(<50),low(<100),low,58,False,False,False,False,0,False
3,177.0,18.73,430.86,13,59.0,6.243333333333333,143.62,0.10581920903954803,13,1,0,2,short(1-3),medium(50-100),low(<100),low,86,False,False,False,False,0,False
1,141.0,10.15,195.14,14,141.0,10.15,195.14,0.07198581560283689,14,1,0,3,short(1-3),high(100-200),low(<100),low,14,False,False,False,False,0,False
1,58.0,5.86,117.24,15,58.0,5.86,117.24,0.10103448275862069,15,1,0,3,short(1-3),medium(50-100),low(<100),low,24,False,False,False,False,0,False
1,133.0,8.34,179.06,16,133.0,8.34,179.06,0.06270676691729324,16,1,0,3,short(1-3),high(100-200),low(<100),low,6,False,False,False,False,0,False
1,59.0,8.31,120.65,17,59.0,8.31,120.65,0.14084745762711864,17,1,0,3,short(1-3),medium(50-100),low(<100),low,65,False,False,False,False,0,False
2,89.0,13.85,234.2,18,44.5,6.925,117.1,0.1556179775280899,18,1,0,2,short(1-3),low(<50),low(<100),low,20,False,False,False,False,0,False
2,147.0,17.43,325.56,19,73.5,8.715,162.78,0.11857142857142856,19,1,0,2,short(1-3),medium(50-100),low(<100),low,56,False,False,False,False,0,False
5,130.0,306.9,574.1,20,26.0,61.379999999999995,114.82000000000001,2.3607692307692307,20,1,0,1,medium(4-6),low(<50),medium(100-500),low,10,False,False,False,False,0,False
5,173.0,1337.9,1443.96,21,34.6,267.58000000000004,288.79200000000003,7.733526011560694,21,1,0,1,medium(4-6),low(<50),very_high(1000+),low,96,False,False,False,False,0,False
5,592.0,433.75,869.0,22,118.4,86.75,173.8,0.7326858108108109,22,1,0,1,medium(4-6),high(100-200),medium(100-500),low,0,False,False,False,False,0,False
5,679.0,476.08,1030.41,23,135.8,95.216,206.08200000000002,0.7011487481590574,23,1,0,1,medium(4-6),high(100-200),medium(100-500),low,41,False,False,False,False,0,False
5,708.0,1129.52,1654.62,24,141.6,225.904,330.924,1.595367231638418,24,1,0,1,medium(4-6),high(100-200),very_high(1000+),low,62,False,False,False,False,0,False
5,261.0,464.94,621.12,25,52.2,92.988,124.224,1.7813793103448277,25,1,0,1,medium(4-6),medium(50-100),medium(100-500),low,12,False,False,False,False,0,False
5,794.0,511.0,1139.94,26,158.8,102.2,227.988,0.6435768261964736,26,1,0,1,medium(4-6),high(100-200),high(500-1000),low,94,False,False,False,False,0,False
5,521.0,1448.55,1624.01,27,104.2,289.71,324.802,2.7803262955854127,27,2,0,1,medium(4-6),high(100-200),very_high(1000+),low,1,False,False,False,False,0,False
5,595.0,863.93,1231.67,28,119.0,172.786,246.334,1.4519831932773108,28,1,0,1,medium(4-6),high(100-200),high(500-1000),low,67,False,False,False,False,0,False
5,811.0,952.39,1608.6,29,162.2,190.478,321.71999999999997,1.1743403205918619,29,1,0,1,medium(4-6),high(100-200),high(500-1000),low,60,False,False,False,False,0,False
5,477.0,704.42,1045.96,30,95.4,140.884,209.192,1.4767714884696015,30,1,0,1,medium(4-6),medium(50-100),high(500-1000),low,96,False,False,False,False,0,False
5,730.0,485.73,991.49,31,146.0,97.146,198.298,0.6653835616438356,31,1,0,1,medium(4-6),high(100-200),medium(100-500),low,49,False,False,False,False,0,False
5,262.0,1173.79,1485.59,32,52.4,234.75799999999998,297.118,4.480114503816794,32,1,0,1,medium(4-6),medium(50-100),very_high(1000+),low,59,False,False,False,False,0,False
5,446.0,219.98,788.62,33,89.2,43.995999999999995,157.724,0.4932286995515695,33,1,0,1,medium(4-6),medium(50-100),medium(100-500),low,62,False,False,False,False,0,False
5,751.0,407.43,1063.46,34,150.2,81.486,212.692,0.5425166444740346,34,1,0,1,medium(4-6),high(100-200),medium(100-500),low,46,False,False,False,False,0,False
5,324.0,128.94,686.54,35,64.8,25.788,137.308,0.39796296296296296,35,1,0,1,medium(4-6),medium(50-100),medium(100-500),low,54,False,False,False,False,0,False
5,414.0,967.0,1368.94,36,82.8,193.4,273.788,2.3357487922705316,36,1,0,1,medium(4-6),medium(50-100),high(500-1000),low,94,False,False,False,False,0,False
5,367.0,290.78,742.25,37,73.4,58.15599999999999,148.45,0.7923160762942778,37,1,0,1,medium(4-6),medium(50-100),medium(100-500),low,25,False,False,False,False,0,False
5,764.0,848.75,1468.46,38,152.8,169.75,293.692,1.1109293193717278,38,1,0,1,medium(4-6),high(100-200),high(500-1000),low,46,False,False,False,False,0,False
5,249.0,873.75,1185.24,39,49.8,174.75,237.048,3.5090361445783134,39,1,0,1,medium(4-6),low(<50),high(500-1000),low,24,False,False,False,False,0,False
8,862.0,1817.85,1719.37,40,107.75,227.23125,214.92125,2.108874709976798,40,0,0,1,long(7-10),high(100-200),very_high(1000+),low,37,False,False,False,False,0,False
11,927.0,1994.33,1779.12,41,84.27272727272727,181.30272727272725,161.7381818181818,2.151380798274002,41,0,0,0,very_long(11+),medium(50-100),very_high(1000+),low,12,False,False,False,False,0,False
9,602.0,186.69,1085.4,42,66.88888888888889,20.743333333333332,120.60000000000001,0.31011627906976746,42,1,0,0,long(7-10),medium(50-100),medium(100-500),low,40,False,False,False,False,0,False
8,610.0,208.29,841.27,43,76.25,26.03625,105.15875,0.3414590163934426,43,1,0,0,long(7-10),medium(50-100),medium(100-500),low,27,False,False,False,False,0,False
12,333.0,1103.21,1618.13,44,27.75,91.93416666666667,134.84416666666667,3.312942942942943,44,0,0,0,very_long(11+),low(<50),very_high(1000+),low,13,False,False,False,False,0,False
8,435.0,1129.65,1525.26,45,54.375,141.20625,190.6575,2.596896551724138,45,1,0,0,long(7-10),medium(50-100),very_high(1000+),low,26,False,False,False,False,0,False
9,218.0,1203.45,1561.63,46,24.22222222222222,133.71666666666667,173.51444444444445,5.520412844036698,46,1,0,0,long(7-10),low(<50),very_high(1000+),low,63,False,False,False,False,0,False
12,781.0,1159.18,1752.72,47,65.08333333333333,96.59833333333334,146.06,1.484225352112676,47,0,0,0,very_long(11+),medium(50-100),very_high(1000+),low,72,False,False,False,False,0,False
11,916.0,1036.91,2098.07,48,83.27272727272727,94.26454545454546,190.73363636363638,1.1319978165938867,48,0,0,0,very_long(11+),medium(50-100),very_high(1000+),low,7,False,False,False,False,0,False
10,358.0,2066.62,1624.11,49,35.8,206.66199999999998,162.411,5.77268156424581,49,0,0,0,long(7-10),low(<50),very_high(1000+),low,11,False,False,False,False,0,False
12,566.0,2013.7,1752.03,50,47.166666666666664,167.80833333333334,146.0025,3.557773851590106,50,0,0,0,very_long(11+),low(<50),very_high(1000+),low,3,False,False,False,False,0,False
9,954.0,1483.39,2024.2,51,106.0,164.82111111111112,224.91111111111113,1.554916142557652,51,0,0,1,long(7-10),high(100-200),very_high(1000+),low,20,False,False,False,False,0,False
9,534.0,1929.94,1624.87,52,59.333333333333336,214.4377777777778,180.5411111111111,3.614119850187266,52,0,0,0,long(7-10),medium(50-100),very_high(1000+),low,87,False,False,False,False,0,False
12,765.0,1343.97,1953.03,53,63.75,111.9975,162.7525,1.7568235294117647,53,0,0,0,very_long(11+),medium(50-100),very_high(1000+),low,3,False,False,False,False,0,False
8,630.0,967.69,1388.05,54,78.75,120.96125,173.50625,1.536015873015873,54,1,0,0,long(7-10),medium(50-100),high(500-1000),low,5,False,False,False,False,0,False
10,909.0,696.0,1505.19,55,90.9,69.6,150.519,0.7656765676567657,55,0,0,0,long(7-10),medium(50-100),high(500-1000),low,19,False,False,False,False,0,False
10,223.0,745.89,1037.45,56,22.3,74.589,103.745,3.344798206278027,56,1,0,0,long(7-10),low(<50),high(500-1000),low,45,False,False,False,False,0,False
8,467.0,1178.71,1483.33,57,58.375,147.33875,185.41625,2.5240042826552465,57,1,0,0,long(7-10),medium(50-100),very_high(1000+),low,33,False,False,False,False,0,False
9,708.0,461.07,1110.6,58,78.66666666666667,51.23,123.39999999999999,0.651228813559322,58,1,0,0,long(7-10),medium(50-100),medium(100-500),low,59,False,False,False,False,0,False
9,885.0,1764.97,1694.37,59,98.33333333333333,196.10777777777778,188.26333333333332,1.994316384180791,59,0,0,1,long(7-10),medium(50-100),very_high(1000+),low,37,False,False,False,False,0,False
6,855.0,591.35,1339.72,60,142.5,98.55833333333334,223.28666666666666,0.6916374269005848,60,1,0,1,medium(4-6),high(100-200),high(500-1000),low,72,False,False,False,False,0,False
2,993.0,54.24,715.19,61,496.5,27.12,357.595,0.05462235649546828,61,1,-1,2,short(1-3),very_high(200+),low(<100),high,19,False,False,False,True,1,False
5,685.0,747.14,1216.36,62,137.0,149.428,243.272,1.0907153284671534,62,1,0,1,medium(4-6),high(100-200),high(500-1000),low,35,False,False,False,False,0,False
3,981.0,341.45,813.95,63,327.0,113.81666666666666,271.31666666666666,0.34806320081549436,63,1,0,2,short(1-3),very_high(200+),medium(100-500),high,95,False,False,False,False,0,False
5,770.0,873.33,1502.49,64,154.0,174.666,300.498,1.1341948051948052,64,1,0,1,medium(4-6),high(100-200),high(500-1000),low,49,False,False,False,False,0,False
6,697.0,651.64,1237.71,65,116.16666666666667,108.60666666666667,206.285,0.9349210903873745,65,1,0,1,medium(4-6),high(100-200),high(500-1000),low,71,False,False,False,False,0,False
3,795.0,450.85,743.94,66,265.0,150.28333333333333,247.98000000000002,0.5671069182389937,66,1,0,2,short(1-3),very_high(200+),medium(100-500),high,94,False,False,False,False,0,False
3,606.0,1184.23,1364.54,67,202.0,394.74333333333334,454.84666666666664,1.954174917491749,67,2,-1,2,short(1-3),very_high(200+),very_high(1000+),optimal,54,False,False,False,True,1,False
3,842.0,865.37,1251.14,68,280.6666666666667,288.45666666666665,417.0466666666667,1.0277553444180523,68,2,0,2,short(1-3),very_high(200+),high(500-1000),high,14,False,False,False,False,0,False
7,748.0,241.73,971.31,69,106.85714285714286,34.53285714285714,138.75857142857143,0.323168449197861,69,1,0,1,long(7-10),high(100-200),medium(100-500),low,31,False,False,False,False,0,False
7,624.0,148.16,905.79,70,89.14285714285714,21.165714285714284,129.39857142857142,0.23743589743589744,70,1,0,1,long(7-10),medium(50-100),medium(100-500),low,79,False,False,False,False,0,False
2,713.0,740.33,1048.28,71,356.5,370.165,524.14,1.0383309957924265,71,2,1,2,short(1-3),very_high(200+),high(500-1000),high,28,False,False,False,False,0,False
3,874.0,1191.4,1515.99,72,291.3333333333333,397.1333333333334,505.33,1.3631578947368421,72,2,-1,2,short(1-3),very_high(200+),very_high(1000+),high,99,False,False,False,False,0,False
6,761.0,530.19,1120.1,73,126.83333333333333,88.36500000000001,186.6833333333333,0.6967017082785809,73,1,0,1,medium(4-6),high(100-200),high(500-1000),low,9,False,False,False,False,0,False
1,815.0,97.89,539.36,74,815.0,97.89,539.36,0.12011042944785276,74,3,-1,3,short(1-3),very_high(200+),low(<100),high,36,False,False,True,True,2,True
1,601.0,497.7,644.12,75,601.0,497.7,644.12,0.8281198003327787,75,3,-1,3,short(1-3),very_high(200+),medium(100-500),high,12,False,False,False,True,1,False
7,817.0,1127.87,1809.91,76,116.71428571428571,161.1242857142857,258.55857142857144,1.380501835985312,76,0,0,1,long(7-10),high(100-200),very_high(1000+),low,91,False,False,False,False,0,False
1,606.0,923.0,1050.05,77,606.0,923.0,1050.05,1.523102310231023,77,3,-1,3,short(1-3),very_high(200+),high(500-1000),high,5,False,False,False,False,0,False
1,909.0,741.82,866.07,78,909.0,741.82,866.07,0.8160836083608362,78,3,-1,3,short(1-3),very_high(200+),high(500-1000),high,7,False,False,True,False,1,False
3,624.0,1160.92,1459.34,79,208.0,386.97333333333336,486.44666666666666,1.8604487179487181,79,2,-1,2,short(1-3),very_high(200+),very_high(1000+),optimal,34,False,False,False,True,1,False
4,650.0,619.49,676.38,80,162.5,154.8725,169.095,0.9530615384615385,80,1,0,1,medium(4-6),high(100-200),high(500-1000),low,38,False,False,False,False,0,False
6,204.0,818.99,628.4,81,34.0,136.49833333333333,104.73333333333333,4.014656862745098,81,1,0,1,medium(4-6),low(<50),high(500-1000),low,40,False,False,False,False,0,False
1,263.0,396.49,198.42,82,263.0,396.49,198.42,1.5075665399239544,82,1,-1,3,short(1-3),very_high(200+),medium(100-500),high,42,False,False,False,False,0,False
