days,miles,receipts,reimbursement,miles_per_day,receipts_per_day,efficiency_score,is_5_day,is_efficient,receipt_category,base_per_diem,reimbursement_minus_base,miles_tier,predicted,residual,abs_error
3,93.0,1.42,364.51,31.0,0.47333333333333333,31.0,0,0,very_low,300,64.50999999999999,"(0, 100]",354.05795986614646,10.45204013385353,10.45204013385353
1,55.0,3.6,126.06,55.0,3.6,55.0,0,0,very_low,100,26.060000000000002,"(0, 100]",144.59314848482387,-18.53314848482387,18.53314848482387
1,47.0,17.97,128.91,47.0,17.97,47.0,0,0,very_low,100,28.909999999999997,"(0, 100]",147.15108311752294,-18.241083117522948,18.241083117522948
2,13.0,4.67,203.52,6.5,2.335,6.5,0,0,very_low,200,3.5200000000000102,"(0, 100]",215.4333842697791,-11.913384269779101,11.913384269779101
3,88.0,5.78,380.37,29.333333333333332,1.9266666666666667,29.333333333333332,0,0,very_low,300,80.37,"(0, 100]",336.1021367696788,44.26786323032121,44.26786323032121
1,76.0,13.74,158.35,76.0,13.74,76.0,0,0,very_low,100,58.349999999999994,"(0, 100]",142.30347786856285,16.046522131437143,16.046522131437143
3,41.0,4.52,320.12,13.666666666666666,1.5066666666666666,13.666666666666666,0,0,very_low,300,20.120000000000005,"(0, 100]",299.0230910200498,21.09690897995023,21.09690897995023
1,140.0,22.71,199.68,140.0,22.71,140.0,0,0,very_low,100,99.68,"(100, 200]",193.08646661208084,6.593533387919166,6.593533387919166
3,121.0,21.17,464.07,40.333333333333336,7.0566666666666675,40.333333333333336,0,0,very_low,300,164.07,"(100, 200]",359.31951060660464,104.75048939339536,104.75048939339536
3,117.0,21.99,359.1,39.0,7.329999999999999,39.0,0,0,very_low,300,59.10000000000002,"(100, 200]",361.5556216368883,-2.4556216368882815,2.4556216368882815
2,202.0,21.24,356.17,101.0,10.62,101.0,0,0,very_low,200,156.17000000000002,"(200, 400]",312.9585053214201,43.211494678579925,43.211494678579925
3,80.0,21.05,366.87,26.666666666666668,7.016666666666667,26.666666666666668,0,0,very_low,300,66.87,"(0, 100]",320.6245256477911,46.24547435220893,46.24547435220893
2,21.0,20.04,204.58,10.5,10.02,10.5,0,0,very_low,200,4.5800000000000125,"(0, 100]",211.61620007346662,-7.036200073466603,7.036200073466603
3,177.0,18.73,430.86,59.0,6.243333333333333,59.0,0,0,very_low,300,130.86,"(100, 200]",413.0465854507363,17.81341454926371,17.81341454926371
1,141.0,10.15,195.14,141.0,10.15,141.0,0,0,very_low,100,95.13999999999999,"(100, 200]",188.39025253189956,6.7497474681004235,6.7497474681004235
1,58.0,5.86,117.24,58.0,5.86,58.0,0,0,very_low,100,17.239999999999995,"(0, 100]",144.59314848482387,-27.353148484823876,27.353148484823876
1,133.0,8.34,179.06,133.0,8.34,133.0,0,0,very_low,100,79.06,"(100, 200]",188.39025253189956,-9.33025253189956,9.33025253189956
1,59.0,8.31,120.65,59.0,8.31,59.0,0,0,very_low,100,20.650000000000006,"(0, 100]",135.94760421527448,-15.297604215274475,15.297604215274475
2,89.0,13.85,234.2,44.5,6.925,44.5,0,0,very_low,200,34.19999999999999,"(0, 100]",247.7120791553381,-13.512079155338114,13.512079155338114
2,147.0,17.43,325.56,73.5,8.715,73.5,0,0,very_low,200,125.56,"(100, 200]",301.73771404818336,23.82228595181664,23.82228595181664
5,130.0,306.9,574.1,26.0,61.379999999999995,26.0,1,0,medium_high,500,74.10000000000002,"(100, 200]",554.9479597313048,19.15204026869526,19.15204026869526
5,173.0,1337.9,1443.96,34.6,267.58000000000004,34.6,1,0,very_high,500,943.96,"(100, 200]",1383.4046514556169,60.55534854438315,60.55534854438315
5,592.0,433.75,869.0,118.4,86.75,118.4,1,0,medium_high,500,369.0,"(400, 600]",887.9993457047422,-18.999345704742154,18.999345704742154
5,679.0,476.08,1030.41,135.8,95.216,135.8,1,0,medium_high,500,530.4100000000001,"(600, 800]",974.7595914306767,55.65040856932342,55.65040856932342
5,708.0,1129.52,1654.62,141.6,225.904,141.6,1,0,very_high,500,1154.62,"(600, 800]",1587.8359060095577,66.78409399044222,66.78409399044222
5,261.0,464.94,621.12,52.2,92.988,52.2,1,0,medium_high,500,121.12,"(200, 400]",675.8272462284914,-54.707246228491385,54.707246228491385
5,794.0,511.0,1139.94,158.8,102.2,158.8,1,0,medium_high,500,639.94,"(600, 800]",1076.3191727601245,63.62082723987555,63.62082723987555
5,521.0,1448.55,1624.01,104.2,289.71,104.2,1,0,very_high,500,1124.01,"(400, 600]",1605.3085525768688,18.701447423131185,18.701447423131185
5,595.0,863.93,1231.67,119.0,172.786,119.0,1,0,very_high,500,731.6700000000001,"(400, 600]",1205.1897330063898,26.480266993610257,26.480266993610257
5,811.0,952.39,1608.6,162.2,190.478,162.2,1,0,very_high,500,1108.6,"(800, 1000]",1495.142667846361,113.45733215363884,113.45733215363884
5,477.0,704.42,1045.96,95.4,140.884,95.4,1,0,high,500,545.96,"(400, 600]",963.8762814175967,82.08371858240332,82.08371858240332
5,730.0,485.73,991.49,146.0,97.146,146.0,1,0,medium_high,500,491.49,"(600, 800]",974.7595914306767,16.730408569323345,16.730408569323345
5,262.0,1173.79,1485.59,52.4,234.75799999999998,52.4,1,0,very_high,500,985.5899999999999,"(200, 400]",1393.4402248190518,92.14977518094815,92.14977518094815
5,446.0,219.98,788.62,89.2,43.995999999999995,89.2,1,0,medium,500,288.62,"(400, 600]",775.6983152400738,12.921684759926165,12.921684759926165
5,751.0,407.43,1063.46,150.2,81.486,150.2,1,0,medium_high,500,563.46,"(600, 800]",972.4680878966237,90.99191210337631,90.99191210337631
5,324.0,128.94,686.54,64.8,25.788,64.8,1,0,medium,500,186.53999999999996,"(200, 400]",709.868167713738,-23.328167713738026,23.328167713738026
5,414.0,967.0,1368.94,82.8,193.4,82.8,1,0,very_high,500,868.94,"(400, 600]",1259.3190605626226,109.6209394373775,109.6209394373775
5,367.0,290.78,742.25,73.4,58.15599999999999,73.4,1,0,medium,500,242.25,"(200, 400]",737.5962788601078,4.653721139892241,4.653721139892241
5,764.0,848.75,1468.46,152.8,169.75,152.8,1,0,very_high,500,968.46,"(600, 800]",1380.6178856216457,87.84211437835438,87.84211437835438
5,249.0,873.75,1185.24,49.8,174.75,49.8,1,0,very_high,500,685.24,"(200, 400]",1109.4066596382768,75.83334036172323,75.83334036172323
8,862.0,1817.85,1719.37,107.75,227.23125,107.75,0,0,very_high,800,919.3699999999999,"(800, 1000]",1816.8282783529326,-97.45827835293267,97.45827835293267
11,927.0,1994.33,1779.12,84.27272727272727,181.30272727272725,84.27272727272727,0,0,very_high,1100,679.1199999999999,"(800, 1000]",1826.3297473933737,-47.209747393373846,47.209747393373846
9,602.0,186.69,1085.4,66.88888888888889,20.743333333333332,66.88888888888889,0,0,medium,900,185.4000000000001,"(600, 800]",973.7355583913703,111.66444160862977,111.66444160862977
8,610.0,208.29,841.27,76.25,26.03625,76.25,0,0,medium,800,41.26999999999998,"(600, 800]",930.1112071092973,-88.84120710929733,88.84120710929733
12,333.0,1103.21,1618.13,27.75,91.93416666666667,27.75,0,0,very_high,1200,418.1300000000001,"(200, 400]",1615.711327224723,2.418672775277173,2.418672775277173
